scenario,from_class,to_class,control_layer,value_type,value,unit,evidence,status,notes
ND,all,all,scenario_definition,calibrated_historical_trend,,,historical_backcast,required,default natural-development baseline
ND,all,all,land_demand,historical_trend,,,historical_backcast,pending,calibrate before forecast
UD,all,all,scenario_definition,urban_development,,,local_plan,required,default urban-development scenario
UD,cropland,built_up,land_demand,relative_change,,,local_plan,pending,do not treat as direct transition probability
UD,grassland,built_up,conversion_matrix,allow_or_restrict,,,local_plan,pending,confirm current PLUS matrix semantics
EP,all,all,scenario_definition,ecological_protection,,,ecological_redline,required,default ecological-protection scenario
EP,forest,built_up,conversion_matrix,allow_or_restrict,,,ecological_redline,pending,protect statutory ecological space
EP,bare_mining_land,forest,spatial_constraint,project_mask,,,restoration_plan,pending,only within feasible restoration projects
EP,bare_mining_land,grassland,spatial_constraint,project_mask,,,restoration_plan,pending,check soil and engineering feasibility
RE,all,all,scenario_definition,resource_extraction,,,mining_plan,required,default resource-extraction scenario
RE,all,all,core_driver,subsidence_depth_aligned.tif,m,external_PIM_w_dat,required,positive_down; aligned to PLUS master grid; not a rendered cloud map
RE,all,all,additional_drivers,aligned_factor_set,,,driver_manifest,required,retain terrain, accessibility, socioeconomic and mining factors
RE,cropland,subsidence_water,driver,continuous_suitability,,,PIM_groundwater_history,pending,subsidence depth is not water
RE,forest,subsidence_water,driver,continuous_suitability,,,PIM_groundwater_history,pending,validate with historical water conversion
RE,grassland,subsidence_water,driver,continuous_suitability,,,PIM_groundwater_history,pending,validate with historical water conversion
RE,all,built_up,land_demand,relative_change,,,mining_plan,pending,link to approved mining infrastructure demand
